group_id,group_name,group_type
16099,Observer time series,timeseries
16303,Original H time series (L-Stations),timeseries
31770,Export_FW_TDemer_value,timeseries
36325,Export_FW_TBrugsepolders_value,timeseries
37087,Export_FW_TDemer_absvalue,timeseries
37347,KMI Daily Original,timeseries
39250,TSM background queue highres,timeseries
39534,ZZZ_ap_alarmstatus_public,timeseries
39535,ZZZ_ap_precipitation_public,timeseries
39673,ZZZ_ap_surfacewater_public,timeseries
40183,Export_Hydronet_KMI,timeseries
75840,Original H time series (LS-Stations),timeseries
75841,Original Hopw time series (K-Stations),timeseries
75842,Original Hafw time series (K-Stations),timeseries
79621,Original HIC timeseries,timeseries
80261,Original N time series (P-stations),timeseries
80468,Export_FW_CATCH_15_value,timeseries
80469,Export_FW_TBenedenschelde_value,timeseries
80470,Export_FW_TDijle_value,timeseries
80471,Export_FW_TGentsekanalen_value,timeseries
80472,Export_FW_TLeie_value,timeseries
80473,Export_FW_TNete_value,timeseries
80474,Export_FW_TBenedenschelde_absvalue,timeseries
80583,Export_FW_EPS_value,timeseries
80584,Export_FW_EPS_Dender_value,timeseries
80586,Export_FW_TBovenschelde_absvalue,timeseries
80587,Export_FW_TBovenschelde_value,timeseries
80588,Export_FW_TBrugsepolders_absvalue,timeseries
80592,Export_FW_TDender_absvalue,timeseries
80856,Export_FW_TDender_value,timeseries
81016,Export_FW_TDijle_absvalue,timeseries
81021,Export_FW_TGentsekanalen_absvalue,timeseries
81023,Export_FW_TIjzer_absvalue,timeseries
81024,Export_FW_TIjzer_value,timeseries
81290,Export_FW_TLeie_absvalue,timeseries
81291,Export_FW_TMaas_absvalue,timeseries
81292,Export_FW_TMaas_value,timeseries
81294,Export_FW_TNete_absvalue,timeseries
81295,Export_FW_CATCH_15_absvalue,timeseries
81854,Original (ME-Stations),timeseries
85154,toestandsrapport_debieten,timeseries
87638,Batterijspanning tijdreeksen,timeseries
87845,Original time series (SODA),timeseries
89615,Original time series (SODA) - inactive,timeseries
111236,WEBLayer_alarmstatus_Cmd.Status.O,timeseries
111237,WEBLayer_alarmstatus_KT_Cmd.Status.O,timeseries
118730,WEBLayer_Stage_15m.Cmd,timeseries
118731,WEBLayer_Precipitation_Month.Total,timeseries
118732,WEBLayer_PrecipitationIntensity_15m.Cmd,timeseries
118733,WEBLayer_PrecipitationDeficit_Cmd.LTV.POR.Day.Max,timeseries
118734,WEBLayer_PrecipitationDeficit_Cmd.LTV.POR.Day.Min,timeseries
118735,WEBLayer_Runoff_Month.Total,timeseries
118736,WEBLayer_BarometricPressure_15m.Cmd,timeseries
