group_id,group_name,group_type
156149,WEB_L_Discharge_All,timeseries
156150,WEB_L_Pluvio_HR,timeseries
156151,WEB_L_PluvioKT,timeseries
156152,WEB_L_Status_All,timeseries
156153,WEB_L_StatusKT_All,timeseries
156154,WEB_L_Waterlevel_All,timeseries
156155,WEB_TS_DrempelPrewaak_ALL,timeseries
156156,WEB_TS_DrempelWaak_ALL,timeseries
156157,WEB_TS_DrempelAlarm_ALL,timeseries
156158,DL_Stroomrichting,timeseries
156159,DL_NCatch,timeseries
156160,Reserve_Harvest5,timeseries
156161,DEX_YAMItoolreeksen,timeseries
156162,DL_H_dag,timeseries
156163,DL_H_hr,timeseries
156164,DL_H_uur,timeseries
156165,DL_HWLW,timeseries
156166,DL_Pluvio_Day_HICOTT,timeseries
156167,DL_Pluvio_Hr_HICOTT,timeseries
156168,DL_Pluvio_uur_HICOTT,timeseries
156169,DL_Q_dag,timeseries
156170,DL_Q_hr,timeseries
156171,DL_Q_uur,timeseries
156172,DL_Chlorofyl,timeseries
156173,DL_Conductiviteit,timeseries
156174,WEB_L_Discharge_Drought,timeseries
156175,WEB_L_Pluvio_Day,timeseries
156176,WEB_L_Pluvio_Month,timeseries
156177,WEB_L_Pluvio_Year,timeseries
156178,WEB_L_Snelheid_niet-sediment,timeseries
156179,WEB_L_Waterlevel_zonder_status,timeseries
156180,WEB_L_Status_Scheld,timeseries
156181,WEB_L_StatusKT_Scheld,timeseries
156182,Reserve_Harvest4,timeseries
156183,WEB_L_WaterlevelTij_Scheld_meting_zonder_status_metvoorspelling,timeseries
156184,WEB_L_Discharge_meting_zonder_status_metvoorspelling,timeseries
156185,Reserve_Harvest3,timeseries
156186,WEB_L_WindKT,timeseries
156187,M_HIC_InhoudBeker1500,timeseries
156188,DL_SSC,timeseries
156189,WEB_TS_Percentiles,timeseries
156190,DL_Pluvio_maand_HICOTT,timeseries
156191,DL_Pluvio_jaar_HICOTT,timeseries
156192,DEX_RWS_HMC,timeseries
156193,Reserve_Harvest1,timeseries
156194,WEB_L_StatusLW_HIC,timeseries
156195,WEB_L_Kunstwerken,timeseries
156196,WEB_L_WaterlevelTij_meting_zonder_status_metofzonder_voorspelling,timeseries
156197,DL_pH,timeseries
156198,WEB_L_Status_HIC,timeseries
156199,DL_Snelheid_Sediment,timeseries
156200,DL_Temperatuur_Sediment,timeseries
156201,Reserve_Harvest2,timeseries
156202,DL_Turbiditeit,timeseries
156203,WEB_L_StatusLT_Scheld,timeseries
156204,WEB_L_Waterlevel_HICwithoutstatus,timeseries
156205,WEB_L_Windrichting,timeseries
156206,WEB_L_Windsnelheid,timeseries
156207,DL_Zuurstofgehalte,timeseries
156208,DL_Zuurstofverzadiging,timeseries
245282,WEB_L_TechnischeMetingen,timeseries
245283,WEB_L_Discharge_Scheld,timeseries
245286,WEB_L_Teststations,timeseries
245288,WEB_L_WaterlevelKT_voorspellingspunten,timeseries
245290,WEB_L_Reservemetingen_HIC,timeseries
246424,DEX_Visuris,timeseries
253642,DEX_Moneos,timeseries
253643,DEX_Vito_DCS4COP,timeseries
254662,M_HIC_H_autonoom,timeseries
254663,M_HIC_W,timeseries
254664,M_HIC_P,timeseries
254665,M_HICDVW_H,timeseries
256285,DEX_FEWS,timeseries
256286,M_HIC_Spanning12V,timeseries
260592,DL_Discharge_calc,timeseries
271671,DEX_Bruxelles_Environnement,timeseries
274268,DEX_DVW_Maasafvoer,timeseries
350099,DL_astroHWLW_TAW,timeseries
354718,DL_astroContinu_TAW,timeseries
362216,M_HIC_Spanning24V,timeseries
368706,DEX_LIFE_Sparc,timeseries
385328,DEX_BOS_KGT,timeseries
394005,M_HIC_QV,timeseries
394006,M_HIC_SF_Cond,timeseries
394007,M_HIC_GOG,timeseries
416414,WEB_L_StatusLT_All,timeseries
420471,ZZ_WVE_W_HW,timeseries
420473,ZZ_WVE_W_LW,timeseries
421208,DL_Saliniteit,timeseries
422885,ZZ_WVE_SSC_PompKAL,timeseries
424890,DEX_Havenbedrijf Antwerpen,timeseries
432821,DL_VerwachtingenHWLW,timeseries
433534,DEX_VMM_operationeel-metingen,timeseries
442133,DEX_EFAS,timeseries
446639,DEX_UA_ValidatieHICeco,timeseries
447865,M_HIC_SpanningBattPerc,timeseries
449885,M_WWGT_H-Hstruct-W-Q,timeseries
449886,M_KMI_N,timeseries
449887,M_ZEEK_Druk-H-Hstruct-W,timeseries
449888,M_DGO2_H-N-Q,timeseries
449889,M_DGO3_Q,timeseries
449890,M_DREAL_H-Q-P,timeseries
449891,M_LMWM_H-Q-Ncatch,timeseries
449892,M_MFRM_N,timeseries
449893,M_MVBM_H,timeseries
449894,M_RWS_H-Ncatch-Q-U-W,timeseries
450651,M_SBGE_H-Q-N-Turb,timeseries
450652,M_VMM_H-N-Q,timeseries
450653,M_VMML_N,timeseries
450654,M_VNF_H-Q,timeseries
450655,M_WWK_Druk-Wind-W,timeseries
451414,M_VLIZ_H,timeseries
451415,M_DVW_GW_PD,timeseries
461382,WEB_L_Chlorofyl,timeseries
461383,WEB_L_Conductiviteit,timeseries
461384,WEB_L_pH,timeseries
461385,WEB_L_Saliniteit,timeseries
461387,WEB_L_Snelheid_Sediment,timeseries
461388,WEB_L_Stroomrichting,timeseries
461389,WEB_L_Temperatuur_Sediment,timeseries
461390,WEB_L_Turbiditeit,timeseries
461391,WEB_L_Zuurstofgehalte,timeseries
461392,WEB_L_Zuurstofverzadiging,timeseries
461393,WEB_L_SSC,timeseries
464034,DEX_KMI_ValidatieHICpluvios,timeseries
464085,M_HIC_SF_Druk,timeseries
473642,DEX_VMM_operationeel-voorspellingen,timeseries
475947,M_HIC_SF_Chfyla,timeseries
475952,M_HIC_SF_DO,timeseries
475953,M_HIC_SF_DOperc,timeseries
475954,M_HIC_SF_pH,timeseries
475955,M_HIC_SF_PPFD,timeseries
475956,M_HIC_SF_Turb,timeseries
475957,M_HIC_SF_v,timeseries
475958,M_HIC_SF_WT,timeseries
482797,M_HIC_SF_vDIR,timeseries
482946,M_HIC_InhoudBeker750,timeseries
485489,DEX_VMM_pluviodata-FR-WAL-BXL,timeseries
490757,ZZ_WVE_SAL_MONEOS,timeseries
491410,ZZ_WVE_T_MONEOS,timeseries
491732,WEB_L_GaugingsDiff,timeseries
492392,DEX_VSSKS,timeseries
492403,ZZ_WVE_SSC_SCHEP_MONEOS,timeseries
492662,DEX_VRAG_D02- SPI3,timeseries
492663,DEX_VRAG_D06_ECOLOGIE_extra Q,timeseries
492664,DEX_VRAG_D07-Maasafvoer,timeseries
492665,DEX_VRAG_D08- Q Kanaal Gent Terneuzen,timeseries
492666,DEX_VRAG_D09 - Q Gent Oostende,timeseries
492667,DEX_VRAG_D10 - Aanvoer Gent,timeseries
492668,DEX_VRAG_D11 - Q Boven-Zeeschelde Melle,timeseries
492669,DEX_VRAG_D15 - Peilen waterwegen,timeseries
492671,ZZ_WVE_V_MONEOS,timeseries
492711,ZZ_LBX_KT1D perc,timeseries
493297,ZZ_JBS_H_Q_DES,timeseries
493822,ZZ_PVE_dagopvolging,timeseries
495222,DEX_ABBA,timeseries
495283,ZZ_WVE_Qdag_MONEOS,timeseries
495828,ZZ_WVE_SSC_calc_MONEOS,timeseries
496271,ZZ_LBX_LTperc,timeseries
505696,ZZ_WVE_WT_All,timeseries
506056,DL_PeilVoorspeld_KTdet,timeseries
506057,DL_AfvoerVoorspeld_KTdet,timeseries
506058,DL_PeilVoorspeld_LTdet,timeseries
506059,DL_AfvoerVoorspeld_LTdet,timeseries
506060,DL_NCatch_KTdet,timeseries
506061,DL_NCatch_LTdet,timeseries
507289,ZZ_LBX_meetperiodePiekenExtended,timeseries
507290,ZZ_LBX_NCatchvoorspeld,timeseries
510205,DL_HW,timeseries
510207,DL_LW,timeseries
512458,DL_astroContinu_LAT,timeseries
513106,DEX_SMS_Status,timeseries
513111,DEX_SMS_Prewaak_MeldingBoven1,timeseries
513112,DEX_SMS_Waak_MeldingBoven2,timeseries
513113,DEX_SMS_Alarm_MeldingBoven3,timeseries
514458,ZZ_PVE_@test-externe-vsn,timeseries
514487,DEX_COTU,timeseries
514488,ZZ_LBX_LT1D,timeseries
515316,DL_astroHWLW_LAT,timeseries
515326,ZZ_PVE_HWLW-metingen_YAMI,timeseries
515366,ZZ_PVE_VSSKS_UNLPUTV,timeseries
515653,ZZ_PVE_20_078_TEST_METINGEN,timeseries
516935,DEX_SPW_DGH,timeseries
526977,DEX_VNF,timeseries
528877,DEX_RWS_DCM,timeseries
1138692,ZZ_WVE_All_DokkenLO_migratieLIMS,timeseries
1138693,ZZ_WVE_All_DokkenRO_migratieLIMS,timeseries
1688415,M_HIC_H_adm-adcp,timeseries
2937448,DEX_MDK_OMS,timeseries
2987910,WEB_TS_DrempelAlarm_SIGN,timeseries
2987911,WEB_TS_DrempelWaak_SIGN,timeseries
2987912,WEB_TS_DrempelPrewaak_SIGN,timeseries
3051883,M_IIW_H-Status,timeseries
3055290,DEX_Meet-het,timeseries
3104031,DEX_GEO-Gismo,timeseries
3136706,V_RWS-DREAL-SPW_H-Q,timeseries
3138273,ZZ_LBX_KT,timeseries
3140709,DEX_Astrotool-WL,timeseries
3147072,DEX_GRDC,timeseries
3160809,DEX_WL_EO,timeseries
3168990,DEX_Meet-het3,timeseries
3186197,M_WKP_H-status,timeseries
3191527,DEX_POAB_Cynthia,timeseries
3200909,DEX_VITO_GRWpp,timeseries
3200990,DEX_VITO_GRWcab,timeseries
3031684,ZZ_LBX_Dynamic_LT1D-Percentile.O,timeseries_dynamic
3037026,M_HIC_TerrainCorr,timeseries_dynamic
